Issue key,Issue id,Parent id,Summary,Status,Created,Updated,Assignee,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Sprint,Sprint,Sprint
ISAAP-496,600878,,Overriding Template Content,Done,20/Nov/24 5:53 PM,25/Nov/24 4:02 PM,TOLBEVX,,,category:authoring-assitance,,,,,,,,
ISAAP-492,599342,,"Button ""Tic Tac"" Styles ",Done,19/Nov/24 9:02 AM,10/Jan/25 11:17 AM,TOLBEVX,Formulary,,category:authoring-assitance,No-QA,,,,,NOVA - S19,,
ISAAP-490,597750,,Access Slide - Overview Tab: Open Questions,Done,15/Nov/24 5:28 PM,06/Feb/25 3:23 PM,TOLBEVX,,,category:authoring-assitance,No-QA,slide:access,,,,NOVA - S19,,
ISAAP-488,597726,,Formulary Look Up,Done,15/Nov/24 1:34 PM,22/Jan/25 4:02 PM,TOLBEVX,,,category:authoring-assitance,No-QA,,,,,NOVA - S18,NOVA - S19,NOVA - S20
ISAAP-486,596321,,Safety Page - Main Tab and Content Alignment,Done,13/Nov/24 9:21 PM,05/Dec/24 2:08 PM,TOLBEVX,,,category:authoring-assitance,,,,,,,,
ISAAP-483,596167,,Expanded Safety Bar Cut Off,Done,13/Nov/24 11:07 AM,10/Jan/25 11:17 AM,TOLBEVX,Safety Bar,,No-QA,,,,,,NOVA - S18,NOVA - S19,
ISAAP-477,595968,,Final Assets - Dosing Background,Done,12/Nov/24 8:20 PM,06/Feb/25 3:21 PM,TOLBEVX,,,category:authoring-assitance,slide:dosing,,,,,,,
ISAAP-472,595491,,Back Button,Done,12/Nov/24 3:28 PM,06/Feb/25 3:28 PM,TOLBEVX,,,category:authoring-assitance,slide:dosing,,,,,,,
ISAAP-465,595505,,Overlay - needs to be scrollable,Done,12/Nov/24 8:53 AM,06/Dec/24 8:20 AM,TOLBEVX,Experience Fragment (Modal),,No-QA,,,,,,NOVA - S18,,
ISAAP-463,595500,,Callout - The callout link image bleeds through modals,Done,12/Nov/24 8:46 AM,06/Dec/24 8:20 AM,TOLBEVX,Callout,,No-QA,,,,,,NOVA - S18,,
ISAAP-462,595099,,Structure components are not defaulting to 100% width,Open,12/Nov/24 8:45 AM,06/Feb/25 3:25 PM,TOLBEVX,Columns,Container,NotForMVP,slide:overview,,,,,IAE Issues,,
ISAAP-461,595097,,Experience Fragment -  Should be vertically centered,Done,12/Nov/24 8:44 AM,10/Jan/25 11:17 AM,TOLBEVX,Experience Fragment (Modal),,No-QA,,,,,,NOVA - S18,NOVA - S19,
ISAAP-459,595095,,Image IVA - Meta Data Issue,Open,12/Nov/24 8:35 AM,23/Jan/25 11:48 AM,TOLBEVX,Image,,NotForMVP,,,,,,IAE Issues,,
ISAAP-458,595093,,Image IVA - Cannot browse path to add image,Open,12/Nov/24 8:34 AM,23/Jan/25 11:48 AM,TOLBEVX,Image,,NotForMVP,,,,,,IAE Issues,,
MCS-3416,590807,573641,Initial Build - Dosing,BLOCKED,05/Nov/24 9:25 AM,07/Feb/25 1:28 AM,TEDESSX,,,DOR,,,,,,,,
MCS-3415,590806,573641,Initial Build - Safety,BLOCKED,05/Nov/24 9:25 AM,04/Feb/25 11:10 AM,TEDESSX,,,DOR,,,,,,,,
MCS-3414,590805,573641,Initial Build - Access,BLOCKED,05/Nov/24 9:21 AM,04/Feb/25 11:10 AM,TEDESSX,,,DOR,,,,,,,,
ISAAP-422,579647,,Figma Tokens - IVA Text,Done,17/Oct/24 12:40 PM,06/Dec/24 8:19 AM,TOLBEVX,,,No-QA,NOVA-Figma-Token,,,,,NOVA - S17,NOVA - S18,
ISAAP-404,579176,,Figma Setup - Columns,Done,17/Oct/24 11:15 AM,22/Jan/25 4:02 PM,TOLBEVX,,,DOR,No-QA,NOVA-Figma-Setup,,,,NOVA - S18,NOVA - S19,NOVA - S20
ISAAP-395,576071,,Figma Tokens - Container,Done,11/Oct/24 2:15 PM,20/Nov/24 12:54 PM,TOLBEVX,,,DOR,No-QA,NOVA-Figma-Token,,,,NOVA - S16,NOVA - S17,
ISAAP-393,576069,,Figma Setup - Container,Done,11/Oct/24 2:11 PM,20/Nov/24 12:53 PM,TOLBEVX,,,DOR,No-QA,NOVA-Figma-Setup,,,,NOVA - S16,NOVA - S17,
ISAAP-379,575717,,IAE Style Guides,Open,10/Oct/24 3:53 PM,12/Nov/24 2:08 PM,TOLBEVX,,,IAE-Templates,,,,,,NOVA - S15,NOVA - S16,
MCS-3048,573642,573641,Initial Build - Overview,BLOCKED,08/Oct/24 3:30 PM,06/Feb/25 11:32 AM,TEDESSX,,,DOR,,,,,,,,
ISAAP-325,561873,,Rinvoq Derm Tables Styling,Done,18/Sep/24 12:13 PM,27/Sep/24 11:58 AM,TOLBEVX,,,,,,,,,NOVA - S14,,
ISAAP-249,544171,,[PUNTED] Create Style Sheets / Templates for Rinvoq RA - Part 2 [Punted 5Pts],Done,20/Aug/24 1:21 PM,11/Nov/24 8:17 AM,TOLBEVX,,,t-shirt-size:l,,,,,,NOVA - S14,NOVA - S15,NOVA - S16
ISAAP-248,544170,,Create Style Sheets / Templates for Rinvoq Derm - Part 2,Done,20/Aug/24 1:21 PM,17/Sep/24 6:02 PM,TOLBEVX,,,t-shirt-size:l,,,,,,NOVA - S13,,
ISAAP-246,544168,,Fix IAE Sky Gastro Style Template Findings ,Done,20/Aug/24 1:15 PM,06/Sep/24 3:25 PM,TOLBEVX,,,,,,,,,NOVA - S12,,
MCS-2666,541735,,8a. Create Screenshots - Round 2,Done,14/Aug/24 2:50 PM,10/Dec/24 4:38 AM,TEDESSX,,,DOR,,,,,,,,
ISAAP-192,519724,519723,List the components that are not finished as part of this styling task,Done,09/Jul/24 11:23 PM,20/Aug/24 11:03 PM,TOLBEVX,,,,,,,,,NOVA - S11,,
ISAAP-191,519723,,Create Style Sheets & configure Templates for Skyrizi Gastro [Punted: 8],Done,09/Jul/24 11:23 PM,20/Aug/24 1:38 PM,TOLBEVX,,,No-QA,t-shirt-size:l,,,,,NOVA - S11,,
ISAAP-166,509148,,Create Style Sheets / Templates for Rinvoq Derm - Part 1,Done,18/Jun/24 11:51 AM,06/Sep/24 3:25 PM,TOLBEVX,,,t-shirt-size:l,,,,,,NOVA - S12,,
MCS-2175,504778,504774,Create Initial Build Applitools Baseline,Done,10/Jun/24 8:16 AM,10/Dec/24 4:40 AM,TEDESSX,,,Brand:Infed,DOR,WS:Doug_Vojtko,,,,,,
ISAAP-145,501345,,[Punted 5pts - Punted -13] Create Style Sheets & Templates for Skyrizi Derm,Done,03/Jun/24 5:02 PM,12/Aug/24 9:40 AM,TOLBEVX,,,t-shirt-size:l,,,,,,NOVA - S10,,
