Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Open Question),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (AbbVie Brands),Custom field (AbbviePONumber),Custom field (Acceptance Criteria),Custom field (Action Required to Verify/Test Change),Custom field (Application ID),Custom field (Application Name - Scripted),Custom field (Approval Status),Custom field (As a ...),Custom field (Assigned Sub-Tasks),Custom field (BAP Number - Scripted),Custom field (BTO),Custom field (BTO - Scripted),Custom field (Begin Date),Custom field (Brand(s)),Custom field (Business Rank),Custom field (Change Number - Scripted),Custom field (Correction Required),Custom field (Current Status),Custom field (Defect ID),Custom field (Defect Type),Custom field (Demand Criticality),Custom field (Demand ID),Custom field (Desired/Proper Operation),Custom field (Detection),Custom field (Due Date),Custom field (ESS Deliverable),Custom field (End Date),Custom field (Environment),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimate (in days)),Custom field (Estimate Hours),Custom field (Estimated Date of Fix),Custom field (External Issue ID),Custom field (Final Resolution),Custom field (Flagged),Custom field (Funding Source),Custom field (Generic failure),Custom field (I Want to ...),Custom field (Non-JIRA Assignee),Custom field (Object ID),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Pending Tasks),Custom field (Percentage Completed),Custom field (Persona),Custom field (Phase),Custom field (Potential cause(s) / mechanisms of failure),Custom field (Potential failure mode),Custom field (Potential results),Custom field (Privacy Review),Custom field (Process Function),Custom field (Product),Custom field (Product Impact),Custom field (Quality Critical),Custom field (Quality Designation),Custom field (RAG Status),Custom field (RPA Discovery Status),Custom field (Rank),Custom field (Reason),Custom field (Recommended Action(s)),Custom field (Reference ID),Custom field (Requirement Criticality),Custom field (Requirement Type),Custom field (Retirement Reason),Custom field (Revision Number),Custom field (Revision Reason),Custom field (Root Cause),Custom field (SDS/SQA - Scripted),Custom field (SLC Methodology - Scripted),Custom field (SO),Custom field (SOD),Custom field (Score),Custom field (Screen ID(s)),Custom field (Severity),Custom field (Signatures),Custom field (So That ...),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story),Custom field (Story Point Estimation),Custom field (Story Points),Custom field (Story Post-Approval),Custom field (Story Post-Approver),Custom field (Story Pre-Approval),Custom field (Story Pre-Approver),Custom field (Story status),Custom field (System Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Case Traceability),Custom field (Testing Impact),Custom field (VERA Sync ID),Custom field (gitBranch),Custom field (gitCommitsReferenced),Custom field (qTest Defect Code),Custom field (test),Custom field (zephyr-je-customfield-teststep),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
iPad Navigation,ISAAP-529,617230,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,BARKEJX3,TEDESSX,TEDESSX,20/Dec/24 9:32 AM,06/Feb/25 3:26 PM,27/Jan/25 9:33 AM,,,,,,,0,No-QA,slide:overview,,,"There are a couple issues with the navigation on the iPad

h1.Open Issues
||#||Summary||Notes||
|1|Hamburger Menu - The Close Icon doesn't appear to be styled| |
|2|Hamburger Menu - The menu options are neither readable nor clickable
 !iPad Navigation Issues.png|thumbnail! |They are clickable on desktop |
|3|The Back button doesn't take you to the previous slide| |
|4|The Home link doesn't take you to the Overview slide| |",,,,,,,,,,,,,,,,,,,,,MCS-3048,MCS-3047,MCS-3414,MCS-3415,MCS-3416,,,,,,,,,,,,,,,,,,,,,,,,"30/Jan/25 2:29 PM;TEDESSX;image-2025-01-30-14-29-03-072.png;https://btsjira.abbvie.com/secure/attachment/447042/image-2025-01-30-14-29-03-072.png","30/Jan/25 2:30 PM;TEDESSX;image-2025-01-30-14-30-31-683.png;https://btsjira.abbvie.com/secure/attachment/447041/image-2025-01-30-14-30-31-683.png","20/Dec/24 9:38 AM;TEDESSX;iPad Navigation Issues.png;https://btsjira.abbvie.com/secure/attachment/433850/iPad+Navigation+Issues.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCS-3038,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2gq8j:f",,,,,Functional,,,,,,,,,,,,,,NOVA - S22,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,"09/Jan/25 7:41 AM;TEDESSX;[~TOLBEVX] - Should this be moved to a bug? Should QA verify the change (i.e., remove the NO-QA label).

cc [~MURPHPX6];;;","30/Jan/25 2:28 PM;TEDESSX;[~MURPHPX6] / [~TOLBEVX]
# {color:#00875A}The Home and Back buttons appear to work{color}
# {color:#00875A}The Home and Dosing Menu Items work{color}
 !image-2025-01-30-14-29-03-072.png|thumbnail! 
# {color:#DE350B}Access doesn't navigate the user to the Access page and the others are blank{color}
# {color:#DE350B}Help navigates the user to what appears to be for placement only content{color}
 !image-2025-01-30-14-30-31-683.png|thumbnail! 

;;;","30/Jan/25 3:05 PM;TEDESSX;[~BARKEJX3] Please advise how the call flow should be authored on the page template, https://cwcm.abbvie.com/editor.html/conf/xpomnichannel/settings/wcm/templates/skyrizi-derm/structure.html;;;",,,,,,,,,,
Back Button,ISAAP-555,623919,,Bug,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,TEDESSX,TEDESSX,09/Jan/25 3:19 PM,06/Feb/25 3:25 PM,04/Feb/25 8:45 AM,,,,,,,0,BAP:cWCM_Platform[BAP0021199],slide:overview,,,"*{color:#de350b}To Do{color}* 
 # Link the bug to the original story/stories
 # Complete Required Details
 # Add RCA label
 # -Add POD label- NA
 # -Add Component tag (as appropriate)-
 # Update the Test Case Traceability Field
 # Add qTest: Test Execution

h1. References
||Name||Link||
|Initiative|[ _{color:#FF8B00}insert Initiative Link{color}_ ]|
|Epic|MCS-3038|

h1. Issue 1
# The Back button doesn't always take the user to the previous slide

h1. Issue 2 (lower priority)
# The back button should only be visible/enabled after the user navigates past the first slide.

# *Actual Result*
## Sometimes the Back button navigates the user to the previous slide
## The Back button is always actionable.

h1. Automation Testing
{color:#de350b}<For pointed defects that will be fixed in parallel with in-sprint automation testing, detail the results of the automation testing process>{color}

h1. Required Details:
 * *Root cause analysis:* - \{insert RCA}
 * {*}Corrective action:{*}- \{insert corrective action}
 * *Affected version:* - \{insert corrective action here and set property}
 * {*}Whether there is any business impact:{*}- \{insert business impact}
 * *Traceability to User Story:* \{Enter Jira Number(s)}",,,,,,,,,,,,,,,,,,,,,MCS-3048,MCS-3414,MCS-3415,MCS-3416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA0007964,,,,,,,,,,,,,,,,,,,,,,,,,MCS-3038,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,Medium,,,"0|i2nkos:",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,{insert Test Case Traceability},,,,,,,,"09/Jan/25 3:19 PM;TEDESSX;Jira Automation - Update New ADMPT Template Ticket: 
Made the following updates:
# Removed DSS-Template label
# Set the Reporter to the user triggering the automation, Tedeschi, Steven
# Removed J Bukala, R Segrud, and S Tedeschi as Watchers
# Removed ""CLONE -"" from the summary
# Set the Assignee
## Subtask: Unassigned
## Other ticket types: User triggering the automation, Tedeschi, Steven
# Epic Name is set to the Summary on Epics;;;",,,,,,,,,,,,
Forced Modal - Display Full Important Safety Information When Launching ISA,ISAAP-522,614606,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,TOLBEVX,TEDESSX,TEDESSX,16/Dec/24 2:50 PM,06/Feb/25 3:25 PM,04/Feb/25 8:45 AM,,,,,,,0,No-QA,slide:overview,,,"When the ISA is opened
 # the Full Prescribing Information is displayed, without a close icon
 # after ~3 seconds, the close icon on appears on the Full Prescribing Modal
[^Full Prescribing Information Shown When Launching ISA.MP4]

h1. Open Items:
||#||Summary||Notes||
|3|How do we control the time period before the close icon appears| |
|4|User cannot scroll the modal to see all the content
!Modal Not Scrollable.png|thumbnail!| |
|5|Close icon not styled
!Modal Not Scrollable.png|thumbnail!| |
|6|The requirement is that the first slide opened shows the forced modal (slides can be rearranged in other presentations). All pages are authored to show the forced modal to satisfy this requirement. There are a couple items:
 # The Overview slide always shows the modal.
 # The modal does not appear when launch other slides first; e.g., Humira Access.| |
h1. Closed Items:
||#||Summary||Notes||
|1|How is the forced modal authored|It's in page properties:
!Forced Modal Page Property.png|thumbnail!|
|2|How do we control the overlay style? Text appears to be styled, but the background is not white.
!Forced Modal.png|thumbnail!| |",,LUDOLJX1,TEDESSX,TOLBEVX,,,,,,,,,,,,,,,,,MCS-3048,MCS-3416,MCS-3415,MCS-3414,,,,,,,,,,,,,,,,,,,,MCS-3906,MCS-3907,MCS-3908,MCS-3909,,"21/Jan/25 10:51 AM;TEDESSX;Full Prescribing Information Shown When Launching ISA.MP4;https://btsjira.abbvie.com/secure/attachment/442644/Full+Prescribing+Information+Shown+When+Launching+ISA.MP4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCS-3038,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2gq8j:9",,,,,Functional,,,,,,,,,,,,,,NOVA - S22,IAE Issues,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,"16/Dec/24 7:25 PM;LUDOLJX1;* Investigating the delayed visibility of the close button
 * Styling has to be written. Likely will not make last fast track release for the year.;;;","09/Jan/25 7:36 AM;TEDESSX;Appears that the attachments were removed, but don't see details in Issue History.

[~TOLBEVX] - [FRD Skyrizi Derm ISA.x;sxm|https://abbvie.sharepoint.com/sites/NOVA/Shared%20Documents/General/Requirements/FRD%20Skyrizi%20Derm%20ISA.xlsm?web=1] has a requirement that ISI be displayed for three seconds (see CRD tab). That being the case, should this be a story so that test cases are created? Either way, I don't think that the NO-QA label is appropriate; this should be tested by QA.

cc [~MURPHPX6]

 

 ;;;","22/Jan/25 9:48 AM;TOLBEVX;Needs AEM Development for desired functionality;;;",,,,,,,,,,
Cannot Widen Component to Use Full Width,ISAAP-507,606380,,Bug,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,TOLBEVX,TEDESSX,TEDESSX,02/Dec/24 12:59 PM,06/Feb/25 3:25 PM,04/Feb/25 8:45 AM,,,,,,,0,NotForMVP,slide:overview,,,"This is similar to the bug whereby components are not automatically consuming the full width (ISAAP-462). In this case, the author cannot extend the width to take the full size of the parent.
||Page||Comment||
|Overview|Cannot widen the text; image shows parent container using full width
[^Cannot Widen Component.mp4]
[^Cannot Widen Container.mp4]|",,MURPHPX6,TEDESSX,,,,,,,,,,,,,,,,,,MCS-3048,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-491,"02/Dec/24 1:04 PM;TEDESSX;Cannot Widen Component.mp4;https://btsjira.abbvie.com/secure/attachment/425873/Cannot+Widen+Component.mp4","02/Dec/24 1:05 PM;TEDESSX;Cannot Widen Container.mp4;https://btsjira.abbvie.com/secure/attachment/425874/Cannot+Widen+Container.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCS-3038,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2og2z:z",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,5.0,,,,,,,,,,No Team,,,,,,,,,"02/Dec/24 2:38 PM;TEDESSX;[~MURPHPX6] - [~TOLBEVX] mentioned you have / will create a ticket for this scenario. If you have created, please link to this ticket. If not, feel free to use this one.;;;","02/Dec/24 4:35 PM;MURPHPX6;We can use this one [~TOLBEVX] [~TEDESSX] ;;;","02/Dec/24 9:21 PM;TEDESSX;[~MURPHPX6] - Thanks for following up! Am I correct to assume this should be converted to a bug?;;;",,,,,,,,,,
Structure components are not defaulting to 100% width,ISAAP-462,595099,,Bug,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,TOLBEVX,TOLBEVX,TOLBEVX,12/Nov/24 8:45 AM,06/Feb/25 3:25 PM,04/Feb/25 8:46 AM,,,,Columns,Container,,0,NotForMVP,slide:overview,,,"Structure components such as Containers and Columns don't default to 100% width. 

Must manually drag component for layout to override narrow default. ( Sometimes a refreshing will resolve, sometimes not)

# Overview: https://cwcm.abbvie.com/editor.html/content/nova/isa/mcs-iae/nova-skyrizi-derm-binder/overview0.html

 ",,TEDESSX,TOLBEVX,,,,,,,,,,,,,,,,,,MCS-3048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCS-3038,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2og2z:zi",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Safety Bar Scrolling,ISAAP-530,617910,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,TOLBEVX,TEDESSX,TEDESSX,23/Dec/24 10:48 AM,06/Feb/25 3:25 PM,04/Feb/25 8:48 AM,,,,,,,0,No-QA,slide:overview,,,"The user should be able scroll the Safety Bar after expanding to read all the safety content. However, the page slides down, showing whitespace at the bottom after initially scrolling",,,,,,,,,,,,,,,,,,,,,MCS-3048,MCS-3074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCS-3038,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2gq8j:c",,,,,Functional,,,,,,,,,,,,,,NOVA - S22,IAE Issues,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,"09/Jan/25 7:42 AM;TEDESSX;[~TOLBEVX] - Should this be moved to a bug? Should QA verify the change (i.e., remove the NO-QA label).

cc [~MURPHPX6];;;",,,,,,,,,,,,
DS Component Integration - Carousel,ISAAP-447,579683,,Story,Ready For Release,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,SAMBASP,MURPHPX6,MURPHPX6,17/Oct/24 1:12 PM,06/Feb/25 10:32 AM,08/Feb/25 7:36 AM,,,Nova 1.21,,,,0,DS-Component-Integration,,,,"h1. {color:#172b4d}Description{color}

 
h1. References
||Name||Link||
|Initiative|[ _{color:#ff8b00}insert Initiative Link{color}_ ]|
|Epic|[ ISAAP-400 ]|
h1. Acceptance Criteria
 * *General*
 ** Define V2 Component
 ** Add to new clientlib
 ** Define new style consuming the listed tokens
 *** 
{code:java}
--carousel-carousel-dot-color-active: #222222;  
--carousel-carousel-dot-color: #CCCCCC; {code}

 * 
 ** htl changes listed below:

{color:#00875a}New Functionality:{color}
 * {color:#00875a}Enable Dots{color}
 * {color:#00875a}Enable Arrows{color}

h1. Technical Details

Reference structure for new DS components styles:

 
{code:java}
.cmp-button {
    // Enterprise OTB variables defined for base unbranded styling
    // ex. --background: #CCCCCC
}
.cmp-button {
    // component styles go here consuming token variables
    // ex. background: var(--background);
    
    .nested-prop {
        // ex. border-top: var(--border-top)
    }
} {code}
 

Brand Clientlibs Structure:
{code:java}
// Auto Generated from Design System
.cmp-component.theme {
    // Generated Brand Design System token variables
    // ex. --background: #7F175C;
}{code}
 

 ",,MURPHPX6,SAMBASP,SRINIMX7,,,,,,,,,,,,,,ISAAP-616,,,,,,,,ISAAP-448,,ISAAP-446,,,,,,,,,,,,,,,,,,,,ISAAP-389,,,,,,,,,,,,,,,,,"'+*v1 Requirement :*+

1.The Carousel component's authoring dialogue must feature the following tabs:
 # Overview
 # Styles
 # Analytics
 # Advanced

2.All specifications outlined in the ""NOVA ISA Authoring PlatformV2.0.xlsx"" requirements document must be met.

3.Click stream tags should initially use the authored values specified in the template. However:
 # These values can be overridden by the ones defined directly within the component.

*v2 Requirement:*

 1. Enable authoring option include Dots & Arrows

*Component Policy Requirement :*
 * Author should be able to add a New Theme in component Policy.
 * Theme Name added should be available in Styles tab of Carousel & Safety Bar component.
 * Author should be able to publish the Theme selected and verify the css is applied",,,,,[role],,,,,,,,,,,,,,,,,,,,,,ISAAP-400,,,,,,,,,,,[feature],None,,,,,,,,,,,,,N/A,,,,Non-GxP,,,"0|i2gq7g:",,,,,Functional,,,,,,,,,,,,,[demonstrable business value],NOVA - S22,NOVA - S23,,,,,,,,,,,,2025/01/22 14:04,"Murphy, Peter",,,,,,,,No Team,NOVA-ISA_Validate Carousel Component [ISAAP-447] Test Run - TR-1753- Passed,,,,,,,,"21/Jan/25 11:10 AM;SRINIMX7;Updating acceptance criteria;;;","24/Jan/25 8:57 AM;SAMBASP;Dry run completed in test , Refer sub task for Test logs.;;;",,,,,,,,,,,
Carousel Component issues (V2 template),ISAAP-616,631450,,Bug,In Development,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,MORALLX4,SAMBASP,SAMBASP,24/Jan/25 6:33 AM,06/Feb/25 10:02 AM,08/Feb/25 7:36 AM,,,Nova 1.23,,,,0,ENV:TEST,Release_Defect,,,"Test URL: [https://admp-test-auth.abbvie.com/editor.html/content/nova/Test/Sathish/carousel0.html]

Find below the Carousel Component (ISAAP-447) issues and observations :

1.In the Overview tab, the ""Disable automatic pause on hover"" feature is not functioning as expected. The automatic pause on hover is not disabled even after enabling the ""Disable automatic pause on hover"" checkbox. - {color:#DE350B}Issue Exists in Desktop Browser{color}. (*Need Clarification:* {color:#DE350B}How this Hover Functionality will work on iPad?{color} )

2. Arrows are not displayed even after selecting the ""Enable Arrows"" checkbox. -  {color:#DE350B}Instead of Arrows 'Next' and 'Previous' buttons are displaying.  (Please, confirm is this expected?){color}

3.Upon selecting ""Enable Swipe and Transitions,"" all three defined texts are displayed. Please advise if this is expected behavior. Refer to the attached screenshot for reference.

4.-In the Advanced tab, the ""Forced Height"" option is not working.- - {color:#00875A}Issue Fixed and Retested on 31/Jan/25{color}

5. -Clarifications:-
 * -*Enable Swipe and Transitions* - Is this feature testable only on an iPad?-
 * -*Hide Control* - The requirement is not found in earlier stories. Could you please advise on its functionality?-

*Retesting Issues on 31/Jan/25:*

6. Tooltip description for the 'Hide Controls' field is not suitable.

7. When authoring the Carousel component with 2 slides and enabling the ""Enable Arrows"" checkbox under the Advanced tab, 
the 'Next' and 'Previous' buttons display with Slide 1 after publishing the page. However, when clicking on 'Next' button Slide 2 content does not display, and the 'Next' and 'Previous' buttons are not positioned correctly. 

8. When the user selects the ""Automatically Transition Slides"" checkbox under the Overview tab and enables the arrows under the Advanced tab, the next and previous buttons appear after publishing the page, but the slides do not transition automatically when the arrows are enabled. However, it works as expected when the dots are enabled.

*Refer the Attachment for Issue 7 & 8:*  [^Issue-7 & 8_Evidence.docx] 

*Additional Defect:*

1. The clickstream tags reporting twice in console - Please advise .  - This issue is already existing in Tab Header component [ISAAP-600]. Facing the same issue again in the 'Carousel' component.

 ",,MORALLX4,SAMBASP,SRINIMX7,YACOBJX,,,,,,,,,,,,,,,,ISAAP-447,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31/Jan/25 6:53 AM;YACOBJX;[Test Env] ISAAP-616_Retested Evidence.docx;https://btsjira.abbvie.com/secure/attachment/447421/%5BTest+Env%5D+ISAAP-616_Retested+Evidence.docx","24/Jan/25 6:35 AM;SAMBASP;carousel issue.PNG;https://btsjira.abbvie.com/secure/attachment/444422/carousel+issue.PNG","31/Jan/25 6:52 AM;YACOBJX;Issue-7 & 8_Evidence.docx;https://btsjira.abbvie.com/secure/attachment/447420/Issue-7+%26+8_Evidence.docx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2oqws:",,,,,Functional,,,,,,,,,,,,,,NOVA - S23,NOVA - S24,,,,,,,,,,,,2025/01/31 06:38,"Yacob, Jansi",,,,,,,,No Team,,,,,,,,,"30/Jan/25 8:41 AM;MORALLX4;[~SAMBASP] installed in Test, ready to validate. Only the option *Enable Swipe and Transitions* is not working as expected, but I think is a know issue, this can be implement on a separated ticket but we need the requirements since this options is from V1 and seems like is not working for V1 either.;;;","31/Jan/25 7:54 AM;YACOBJX;[~MORALLX4] Retested the issue, and Issue 4 is working fine. However, Issue 1 is still present, and need clarification on how the hover functionality should work on an iPad. For Issue 2, please confirm if the behavior described is expected. During retesting, I encountered new issues, and the details have been added in the issue description (see Retesting Issues 4, 5, and 6). I’m assigning the ticket back to you.

Retested Evidence Attached:  [^[Test Env] ISAAP-616_Retested Evidence.docx] 

CC: [~SRINIMX7] [~SAMBASP]
;;;","05/Feb/25 1:06 PM;SRINIMX7;Open issues still pending;;;","06/Feb/25 10:02 AM;YACOBJX;[~MORALLX4] While testing, we noticed that the clickstream tags are repeating twice in the console,. so I've added this issue to the additional defect description. Please take a look at it.

CC: [~SAMBASP] [~SRINIMX7];;;",,,,,,,,,
Font size adjustment in Experience Fragment (NOVA-0013),ISAAP-563,624270,,Task,In Progress,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,TOLBEVX,BARKEJX3,TEDESSX,10/Jan/25 10:48 AM,06/Feb/25 10:01 AM,06/Feb/25 10:01 AM,,,,,,,0,category:platform-product,,,,"I am unable to change the font size for the IVA text in the experience fragment. In the example, I creating a modal for a button.",,,,,,,,,,,,,,,,,,ISAAP-573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/Jan/25 1:36 PM;BARKEJX3;Text Size EF.mp4;https://btsjira.abbvie.com/secure/attachment/439139/Text+Size+EF.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-547,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2plg0:",,,,,Functional,,,,,,,,,,,,,,NOVA - S24,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
DS Component Integration - Vertical Navigation FINAL,ISAAP-576,625319,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,KUMARSX42,MURPHPX6,MURPHPX6,13/Jan/25 1:30 PM,05/Feb/25 1:03 PM,08/Feb/25 7:36 AM,,,Nova 1.23,,,,0,DS-Component-Integration,No-QA,,,"h1. {color:#172b4d}Description{color}
 * No new functionality
 * Only style updates

h1. References
||Name||Link||
|Initiative|[ _{color:#ff8b00}insert Initiative Link{color}_ ]|
|Epic|[ ISAAP-400 ]|

 

 

 

 ",,MURPHPX6,,,,,,,,,,,,,,,,ISAAP-582,,,,,,,,,,ISAAP-439,,,,,,,,,,,,,,,,,,,,ISAAP-439,,,,,,,,,,,,,,,,,,,,,,Author,,,,,,,,,,,,,,,,,,,,,,ISAAP-400,,,,,,,,,,,Author the Vertical Navigation,None,,,,,,,,,,,,,N/A,,,,Non-GxP,,,"0|i2gq4o:",,,,,Functional,,,,,,,,,,,,,I can meet all the component requirements,NOVA - S24,,,,,,,,,,,,3.0,2025/01/13 11:36,"Murphy, Peter",,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
[STRETCH] Container component issues (V2 template),ISAAP-553,623629,,Bug,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,MORALLX4,SAMBASP,SAMBASP,09/Jan/25 10:58 AM,05/Feb/25 1:03 PM,08/Feb/25 7:36 AM,,,Nova 1.23,,,,0,Accepted_Defect,ENV:Test,Release_Defect,,"Container component issues and observations:

-1.Custom class values are not being passed or reflected in the inspect element.-

-2.Background style is working fine, but the image doesn't display for ""Cover"" and ""Full Width"" options.- {color:#57d9a3}*- Issue Fixed & retested on 01/22*{color}

{color:#de350b}3. Enable Scrolling – The description says, ""Enable a forced vertical scroll bar on this container (the container must have a forced height, configured above)."" If the forced height isn’t provided and ""Enable Scrolling"" is checked, saving the dialog should show an error asking for the height. However, the dialog saves without showing the error. Is this expected?{color}

 

Test URL : [https://admp-test-auth.abbvie.com/editor.html/content/nova/Test/container-component.html]",,MORALLX4,MURPHPX6,SAMBASP,,,,,,,,,,,,,,,,,ISAAP-435,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/25 6:28 AM;SAMBASP;Container retest.docx;https://btsjira.abbvie.com/secure/attachment/443660/Container+retest.docx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2njqk:",,,,,Functional,,,,,,,,,,,,,,NOVA - S22,NOVA - S23,NOVA - S24,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,"21/Jan/25 10:47 AM;MORALLX4;[~SAMBASP] 
 # N/A
 # Is working fine, please try with a different image, the image you used to test one is a svg with block constraint property enable.  Try with any png banner image.
 # This is the original implementation, but can be implemented, but this is not a quick change.  I think we can implemented as a non blocker issue.

FYI: [~SRINIMX7]  ;;;","23/Jan/25 8:18 AM;SAMBASP;[~MURPHPX6]  - This is an accepted defect from Sprint 22. One issue (highlighted in red) can be implemented as a non-blocker, per Luis's comment. Please assign it to the backlog or as necessary.

CC:[~MORALLX4] [~SRINIMX7] [~YACOBJX] ;;;","23/Jan/25 9:34 AM;MURPHPX6;status update;;;",,,,,,,,,,
