Issue key,Issue id,Parent id,Status,Created,Updated,Assignee,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Component/s,Description
ISAAP-501,603823,,Done,26/Nov/24 1:40 PM,06/Feb/25 3:28 PM,TOLBEVX,No-QA,NotForMVP,slide:dosing,,,,IVA Text,,"Font of numbered elements doesn't match the font of the text:
 !Rendered Output.png|thumbnail! 

Need to manually place the list item tag in the span
 !Updated Authoring.png|thumbnail! 
"
MCS-4370,636481,,Backlog,03/Feb/25 9:31 AM,06/Feb/25 3:28 PM,TOLBEVX,category:requirements-clarification,overlay:indications,overlay:references,slide:dosing,,,,,"The following scenario's Indications and References overlay's were getting closed.

1) By clicking on close icon.
2) By clicking on anywhere outside of the overlay.
3) By clicking on inside overlay empty spaces.

Kindly confirm the 3 scenario.

*+_NOTE_+* This is not limited to the References or Indications overlay; see FRD for expected behavior [FRD Skyrizi  Derm ISA.xlsm|https://abbvie.sharepoint.com/sites/NOVA/Shared%20Documents/General/Requirements/FRD%20Skyrizi%20Derm%20ISA.xlsm?web=1]"
ISAAP-529,617230,,Open,20/Dec/24 9:32 AM,06/Feb/25 3:26 PM,BARKEJX3,No-QA,slide:overview,,,,,,,"There are a couple issues with the navigation on the iPad

h1.Open Issues
||#||Summary||Notes||
|1|Hamburger Menu - The Close Icon doesn't appear to be styled| |
|2|Hamburger Menu - The menu options are neither readable nor clickable
 !iPad Navigation Issues.png|thumbnail! |They are clickable on desktop |
|3|The Back button doesn't take you to the previous slide| |
|4|The Home link doesn't take you to the Overview slide| |"
MCS-4283,632308,,Done,26/Jan/25 6:31 PM,06/Feb/25 3:26 PM,TOLBEVX,category:css,slide:overview,,,,,,,"h1. XD


h1. Site
 !site.png|thumbnail! "
MCS-4263,632085,,Done,26/Jan/25 4:20 PM,06/Feb/25 3:26 PM,BARKEJX3,category:css,slide:overview,,,,,,,"h1. XD

h1. Site
 !site.png|thumbnail! "
MCS-4246,631586,,Done,24/Jan/25 1:55 PM,06/Feb/25 3:26 PM,TOLBEVX,category:content,slide:overview,,,,,,,"h1. XD


h1. Site
 !Site.png|thumbnail! "
ISAAP-508,606678,,Done,02/Dec/24 8:44 PM,06/Feb/25 3:26 PM,TOLBEVX,category:authoring-assitance,No-QA,slide:overview,,,,,,"The ""3 Cell Overlay"" has some unique characteristics
# User can still interact with the Safety Bar
# The background image is different
# The opacity is different
 !3 Cell Overlay.png|thumbnail! 

In addition to these unique characteristics, and, if these should be Callouts, styles are not currently available.
 !No Style Options for Overlay.png|thumbnail! 
"
ISAAP-509,606679,,Done,02/Dec/24 9:06 PM,06/Feb/25 3:25 PM,TOLBEVX,category:authoring-assitance,No-QA,slide:overview,,,,,,"The Overview page has 3 Overlays:
# Ps: https://cwcm.abbvie.com/editor.html/content/experience-fragments/nova/isa/iae/skyrizi-derm/modals/callouts/overview-ps-callout.html
# PsA: https://cwcm.abbvie.com/editor.html/content/experience-fragments/nova/isa/iae/skyrizi-derm/modals/callouts/overview-psa-callout.html
# ""Three Cell"": https://cwcm.abbvie.com/editor.html/content/experience-fragments/nova/isa/iae/skyrizi-derm/modals/callouts/overview-three-image-callout.html

Common Issues Include:
# Safety Bar Expand icon is visible on the overlay
# Close Icon not visible
_NOTE:_ Close Icon also not on the References Overlay
 !Rendered Output.png|thumbnail! 
 !Author View.png|thumbnail! "
MCS-4260,632082,,In Progress,26/Jan/25 4:05 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
MCS-4285,632310,,In Progress,26/Jan/25 6:49 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
MCS-4259,632081,,Incident Raised,26/Jan/25 4:03 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"h1. XD


h1. Site
 !site.png|thumbnail! "
ISAAP-503,604331,,Done,27/Nov/24 8:48 AM,06/Feb/25 3:25 PM,TOLBEVX,category:authoring-assitance,No-QA,slide:overview,,,,,,"[https://cwcm.abbvie.com/editor.html/content/nova/isa/mcs-iae/nova-skyrizi-derm-binder/overview0.html]

h1. Open Items
||#||Summary||Comments||
h1. In Progress Items
||#||Summary||Comments||
h1. Closed Items
||#||Summary||Comments||
|1|PsA Callout|{color:#de350b}Issue:{color} Authored like Ps Callout, but not left aligned.
{color:#00875a}Resolution:{color} Victor helped address in Dev 2 connect,|
|2|Right, Blue Column - Sizing|{color:#de350b}Issue:{color} How to get the right column to match the with in the XD file?
{color:#00875a}Resolution:{color} Victor helped address in Dev 2 connect.|
|3|Right, Blue Column - Overlay Button|{color:#de350b}Issue:{color} How to add overlay button on the column?
{color:#00875a}Resolution:{color} Victor helped address in Dev 2 connect.|
|4|3 cell overlay - Background|[https://cwcm.abbvie.com/editor.html/content/experience-fragments/nova/isa/iae/skyrizi-derm/modals/callouts/overview-three-image-callout.html]
{color:#de350b}Issue:{color} How to set the proper background color / opacity?
{color:#00875a}Resolution:{color} Split to ISAAP-508|
|5|3 cell overlay - Borders|{color:#de350b}Issue:{color} The containers are configured the same, but the borders differ.
{color:#00875a}Resolution:{color} Corrected configuration in Dec 2 connect.|
|6|3 cell overlay - Text / Images|{color:#de350b}Issue:{color} Neither the text nor the image in the cell containers is visible.
{color:#00875a}Resolution:{color} Corrected configuration in Dec 2 connect.|
|7|3 cell overlay - Safety Bar Expansion|{color:#de350b}Issue:{color} The icon to expand the Safety Bar appears over the overlay.
{color:#00875a}Resolution:{color} Split to ISAAP-509|
|8|NOTHING IS EVERYTHING ""text""|{color:#de350b}Issue:{color} The text is a series of individual letters. What size font should be used? Currently authored as Heading 1
{color:#00875a}Resolution:{color} Victor added as an image.|
|9|Ps Callout - Cannot Close|{color:#de350b}Issue:{color} Close icon is not visible on the Ps Callout PS Callout: [https://cwcm.abbvie.com/editor.html/content/experience-fragments/nova/isa/iae/skyrizi-derm/modals/callouts/overview-ps-callout.html]
{color:#00875a}Resolution:{color} Split to ISAAP-509|
|10|Ps Callout - Change Carousel Items|{color:#de350b}Issue:{color} How to author carousel such that user can move between items via cue on image
!image-2024-12-02-13-52-03-066.png|thumbnail!
{color:#00875a}Resolution:{color} Split to ISAAP-510|
|11|PsA Callout - Cannot Close|{color:#de350b}Issue:{color} Close icon is not visible on the PsA Callout PS Callout: [https://cwcm.abbvie.com/editor.html/content/experience-fragments/nova/isa/iae/skyrizi-derm/modals/callouts/overview-psa-callout.html]
{color:#00875a}Resolution:{color} Split to ISAAP-509|
|12|Tabs Component|The References and Footnotes buttons are creating additional space between the bottom of the Tabs component and the bottom of the page. This was a contributing factor in why the ""Not a real patient text"" was blocked. The References and Footnotes button are creating vertical space:
!image-2024-12-03-10-16-35-692.png|thumbnail!
I added Top Margin to the containers for both 1) the whole row (buttons, tabs, and Veeva #) and 2) the tabs component, but cannot seam to get them closer to the bottom of the page:
!image-2024-12-03-10-16-05-691.png|thumbnail!|
|13|Full Prescribing PDF not opening|{color:#de350b}Issue: {color}Full Prescribing Link Opens as HTML, not PDF
{color:#00875a}Resolution:{color} Split to ISAAP-505|"
MCS-4272,632096,,Done,26/Jan/25 5:47 PM,06/Feb/25 3:25 PM,BARKEJX3,category:css,slide:overview,,,,,,,"Tile tabs background is not matching as per XD. In XD black color background is there behind the tile tabs.

h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
MCS-4261,632083,,Done,26/Jan/25 4:11 PM,06/Feb/25 3:25 PM,BARKEJX3,category:css,slide:overview,,,,,,,"h1. XD
 !xd.png|thumbnail! 


h1. Site
 !site.png|thumbnail! 
"
MCS-4262,632084,,Done,26/Jan/25 4:15 PM,06/Feb/25 3:25 PM,BARKEJX3,category:css,slide:overview,,,,,,,"h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
MCS-4269,632093,,Backlog,26/Jan/25 5:22 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"# In PS and PSA content - font and size and not matching as per the XD
# The starting space is mismatch for the below content
##  HIGH LEVELS OF SKIN CLEARANCE
## POWERFUL JOINT SYMPTOM IMPROVEMENT
# Circled plus icon is not matching as per the XD.

h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! 

"
MCS-4271,632095,,In Progress,26/Jan/25 5:42 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"# Tile tabs colour, width is not matching as per XD
# Except overview tab, remaining tabs font color is not matching as per xD

h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
ISAAP-522,614606,,Open,16/Dec/24 2:50 PM,06/Feb/25 3:25 PM,TOLBEVX,No-QA,slide:overview,,,,,,,"When the ISA is opened
 # the Full Prescribing Information is displayed, without a close icon
 # after ~3 seconds, the close icon on appears on the Full Prescribing Modal
[^Full Prescribing Information Shown When Launching ISA.MP4]

h1. Open Items:
||#||Summary||Notes||
|3|How do we control the time period before the close icon appears| |
|4|User cannot scroll the modal to see all the content
!Modal Not Scrollable.png|thumbnail!| |
|5|Close icon not styled
!Modal Not Scrollable.png|thumbnail!| |
|6|The requirement is that the first slide opened shows the forced modal (slides can be rearranged in other presentations). All pages are authored to show the forced modal to satisfy this requirement. There are a couple items:
 # The Overview slide always shows the modal.
 # The modal does not appear when launch other slides first; e.g., Humira Access.| |
h1. Closed Items:
||#||Summary||Notes||
|1|How is the forced modal authored|It's in page properties:
!Forced Modal Page Property.png|thumbnail!|
|2|How do we control the overlay style? Text appears to be styled, but the background is not white.
!Forced Modal.png|thumbnail!| |"
MCS-4275,632099,,Done,26/Jan/25 5:55 PM,06/Feb/25 3:25 PM,BARKEJX3,category:css,slide:overview,,,,,,,"Height and width are not matching as per the XD.

h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! 
"
ISAAP-510,606680,,Done,02/Dec/24 9:14 PM,06/Feb/25 3:25 PM,TOLBEVX,category:authoring-assitance,No-QA,slide:overview,,,,,,"The Ps Callout on the Overview page has a carousel with users changing slides based on images within the slide, instead of the default circles below
# Ps: https://cwcm.abbvie.com/editor.html/content/experience-fragments/nova/isa/iae/skyrizi-derm/modals/callouts/overview-ps-callout.html
 !Slide Toggle.png|thumbnail! "
MCS-4390,639000,,Backlog,06/Feb/25 10:40 AM,06/Feb/25 3:25 PM,BARKEJX3,category:css,overlay:references,slide:overview,,,,,,"References overlay width and height is not matching as per the XD.
||Slide||Initial Build Ticket||XD Size||Site Size||
|Overview|MCS-3048|337.34 x 731
 !Overview XD.png|thumbnail! | |
|Dosing|MCS-3416|337.34 x 768.37
 !Dosing XD.png|thumbnail!  | |
|Safety|MCS-3415|368 x 768.37
 !Safety XD.png|thumbnail! | |
|Access|MCS-3414|337 x 768.37
 !Access XD.png|thumbnail! | |"
MCS-4255,632077,,In Progress,26/Jan/25 3:38 PM,06/Feb/25 3:25 PM,TOLBEVX,category:content,slide:overview,,,,,,,"h1. XD
US-SKZD-230601
 !xd.png|thumbnail! 

h1. Site
US-SKZD-230597
 !site.png|thumbnail! "
MCS-4249,631592,,Ready for Testing,24/Jan/25 2:10 PM,06/Feb/25 3:25 PM,TOLBEVX,category:content,slide:overview,,,,,,,"h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail!  "
MCS-4258,632080,,In Progress,26/Jan/25 4:00 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"h1. XD


h1. Site:
 !site.png|thumbnail! 
"
MCS-4284,632309,,Done,26/Jan/25 6:36 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"||Indication||XD||Site||
|PS|!PS XD.png|thumbnail! | !PS Site.png|thumbnail! |
|PsA| !PsA XD.png|thumbnail! | !PsA Site.png|thumbnail! |"
MCS-4256,632078,,In Progress,26/Jan/25 3:43 PM,06/Feb/25 3:25 PM,TOLBEVX,category:content,slide:overview,,,,,,,"Description: Height of violet rectangular area in top page is mismatching between site and XD.

h1. XD


h1. Site
 !site.png|thumbnail! "
MCS-4276,632300,,Done,26/Jan/25 5:59 PM,06/Feb/25 3:25 PM,BARKEJX3,category:css,slide:overview,,,,,,,"Height and width are not matching as per the XD.

h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
MCS-4267,632091,,Done,26/Jan/25 5:18 PM,06/Feb/25 3:25 PM,BARKEJX3,category:css,slide:overview,,,,,,,"h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
ISAAP-557,623921,,Done,09/Jan/25 3:27 PM,06/Feb/25 3:25 PM,TOLBEVX,No-QA,slide:overview,,,,,,,"The Skyrizi logo is not blurred like other slide content:
# Ps Overlay
 !Ps Overlay.png|thumbnail! 
# PsA Overlay
 !PsA Overlay.png|thumbnail! 
"
MCS-4270,632094,,Done,26/Jan/25 5:39 PM,06/Feb/25 3:25 PM,BARKEJX3,category:css,slide:overview,,,,,,,"In PS and PSA content – Placement is not matching as per the XD.

h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
MCS-4282,632307,,Done,26/Jan/25 6:23 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"# Background image is not visible like XD.
# Placement of modal is not matching as per XD.

h1. XD
 !xd.png|thumbnail! 

h1. Site
 !site.png|thumbnail! "
MCS-4252,632074,,In Progress,26/Jan/25 3:03 PM,06/Feb/25 3:25 PM,TOLBEVX,category:content,slide:overview,,,,,,,"# Mismatch of bulleting point as highlighted. Same issue in After Week 16 modal
# Extra space is there between “maintained” and “at” text in point 1 as highlighted. Same issue in After Week 16 modal
# Highlighted numbers should be in superscript as per XD file. Same issue in After Week 16 modal


h1. XD
 !xd.png|thumbnail! 

h1. Site
  !site.png|thumbnail! "
MCS-4273,632097,,In Progress,26/Jan/25 5:50 PM,06/Feb/25 3:25 PM,TOLBEVX,category:css,slide:overview,,,,,,,"Overview button/tab and VEEVA number - font name, size is not matching as per XD

h1. XD
 !xd.png|thumbnail! 

h1. Author
https://cwcm.abbvie.com/editor.html/conf/xpomnichannel/settings/wcm/templates/skyrizi-derm/structure.html
 !author.png|thumbnail! 

h1. Site
 !site.png|thumbnail! 
"
ISAAP-507,606380,,Open,02/Dec/24 12:59 PM,06/Feb/25 3:25 PM,TOLBEVX,NotForMVP,slide:overview,,,,,,,"This is similar to the bug whereby components are not automatically consuming the full width (ISAAP-462). In this case, the author cannot extend the width to take the full size of the parent.
||Page||Comment||
|Overview|Cannot widen the text; image shows parent container using full width
[^Cannot Widen Component.mp4]
[^Cannot Widen Container.mp4]|"
ISAAP-462,595099,,Open,12/Nov/24 8:45 AM,06/Feb/25 3:25 PM,TOLBEVX,NotForMVP,slide:overview,,,,,Columns,Container,"Structure components such as Containers and Columns don't default to 100% width. 

Must manually drag component for layout to override narrow default. ( Sometimes a refreshing will resolve, sometimes not)

# Overview: https://cwcm.abbvie.com/editor.html/content/nova/isa/mcs-iae/nova-skyrizi-derm-binder/overview0.html

 "
ISAAP-530,617910,,Open,23/Dec/24 10:48 AM,06/Feb/25 3:25 PM,TOLBEVX,No-QA,slide:overview,,,,,,,"The user should be able scroll the Safety Bar after expanding to read all the safety content. However, the page slides down, showing whitespace at the bottom after initially scrolling"
ISAAP-490,597750,,Done,15/Nov/24 5:28 PM,06/Feb/25 3:23 PM,TOLBEVX,category:authoring-assitance,No-QA,slide:access,,,,,,"# How does the columns component need to be authored so the columns widths are
## Left 688
## Right 39
 !Overview Column Widths.png|thumbnail! "
ISAAP-506,606331,,Done,02/Dec/24 11:26 AM,06/Feb/25 3:21 PM,TOLBEVX,category:authoring-assitance,No-QA,slide:dosing,,,,,,"h1. Open Items
||#||Summary||Comments||

h1. In Progress Items
||#||Summary||Comments||
 
h1. Closed Items
||#||Summary||Comments||
|1|Main Content Area|{color:#de350b}Issue:{color} Would it be more efficient to 1) apply template updates to the dosing page so that the there's room for the Tab Headings and main content area or 2) recreate the dosing page?
{color:#00875a}Resolution:{color} Victor took care of positioningi.|
|2|Image Size|Once the Main Content Area is set, need to determine size of image for each tab
 # Skyrizi Dosing:
 ## [https://cwcm.abbvie.com/damadmin#/content/dam/skyrizihcpivy/isa/derm/skyrizi/1-dosage-for-all-patients.jpg]
 ## Image Size: 1870w x 1012h
 ## XD: 934w x 475h
 ## Current Authoring: 825w x 400h|
|3|Indications|{color:#de350b}Issue:{color} Citation text is sub script; should be superscript
{color:#00875a}Resolution:{color} Corrected authoring in Dec 3 connect.|
|4|Overlays Missing Close Icon|Probable Duplicate of: ISAAP-509
Indications: [https://cwcm.abbvie.com/editor.html/content/experience-fragments/nova/isa/iae/skyrizi-derm/modals/indications/dosing.html]|
|6|Indications Overlay|The Indications modal on the XD screenshot does not consume the full width. Tried adding padding to overlay, but that has no impact|
|5|Indications Text|{color:#de350b}Issue:{color} Update the Dosing Experience Fragment to match XD
{color:#00875a}Resolution:{color} Updated.|
|7|Full Prescribing PDF not opening|{color:#de350b}Issue: {color}Full Prescribing Link Opens as HTML, not PDF
{color:#00875a}Resolution:{color} Split to ISAAP-505|
|8|Dosing Schedules - PS|Tab Heading is using the References style, but needs white, not blue background
 !PS Tab Header.png|thumbnail!|
|9|Dosing Schedules - PsA|Tab Heading is using the References style, but needs white, not blue background
 !PS Tab Header.png|thumbnail!|
|10|Center Tabs| |"
ISAAP-477,595968,,Done,12/Nov/24 8:20 PM,06/Feb/25 3:21 PM,TOLBEVX,category:authoring-assitance,slide:dosing,,,,,,,"The XD file (https://xd.adobe.com/view/0868e49b-aebf-4bdf-afc9-2894660a43ae-5d3b/screen/0271f419-ae4f-4ccb-a6f5-714a956ce201/specs/) shows mountains by a lake; however

|XD File| ssss|
|XD Background| !XD Background.png|thumbnail! |
|Template Page Background| !Template Background.png|thumbnail! 

h1.Resolution
# Select Root Container
# Click configure
# Change the image on the Advanced tab"
MCS-4380,637589,,Backlog,04/Feb/25 11:07 AM,06/Feb/25 3:05 PM,TOLBEVX,category:css,overlay:isi,slide:access,slide:dosing,slide:overview,slide:safety,,,"| Two scroll bar is displaying on ""Tap here"" ISI Overlay.| |  !screenshot-13.png|thumbnail! "
MCS-4382,637999,,Backlog,05/Feb/25 3:38 AM,06/Feb/25 2:57 PM,TOLBEVX,category:css,slide:dosing,,,,,,,"Font Size, Text align and line height is not matching as per XD.
"
